,Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,Smiles,Standard Value,Standard Units,pChEMBL Value
593,CHEMBL348041,,333.43,0,Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(C)(=O)=O)cc2)o1,40.0,nM,7.4
594,CHEMBL70104,,364.46,0,CC1(C)OC(=O)C(OC2CCCCC2)=C1c1ccc(S(C)(=O)=O)cc1,40.0,nM,7.4
595,CHEMBL455837,,333.80,0,CS(=O)(=O)c1ccc(-n2nncc2-c2ccc(Cl)cc2)cc1,40.0,nM,7.4
596,CHEMBL3331466,,482.58,1,CC(C)c1c(COC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)n(C)n(-c2ccccc2)c1=O,40.0,nM,7.4
597,CHEMBL304982,,338.43,0,CCC(C)OC1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(C)OC1=O,40.0,nM,7.4
598,CHEMBL100331,,469.03,1,CCCCCCCCNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,40.0,nM,7.4
599,CHEMBL4794089,,571.11,3,C/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C,40.0,nM,7.4
600,CHEMBL106302,,394.39,0,CC1(C)OC(=O)C(Oc2cc(F)cc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,40.0,nM,7.4
601,CHEMBL107706,,377.39,0,CC1(C)OC(=O)C(Oc2ccc(F)cn2)=C1c1ccc(S(C)(=O)=O)cc1,40.0,nM,7.4
602,CHEMBL4878422,,449.94,0,Cc1nc2oc(-c3ccc(Cl)cc3)nn2c(=O)c1CCN1CCN(c2ccccc2)CC1,40.0,nM,7.4
603,CHEMBL321217,,360.41,0,CC1(C)OC(=O)C(c2cccc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,40.0,nM,7.4
604,CHEMBL4205552,,408.84,1,COc1ccc(-c2nc3cc(NC(=O)c4ccccc4Cl)ccc3o2)cc1OC,40.0,nM,7.4
605,CHEMBL158148,,440.54,0,CS(=O)(=O)c1ccc(-c2cnn(CC3CCCCC3)c(=O)c2-c2ccc(F)cc2)cc1,40.0,nM,7.4
606,CHEMBL95643,,461.95,1,COc1ccc2c(c1)c(CC(=O)OCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,40.0,nM,7.4
607,CHEMBL28527,MAVACOXIB,385.34,0,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,40.74,nM,7.39
608,CHEMBL4561572,,310.27,0,O=[N+]([O-])c1ccc(/C=N/Nc2nnc(-c3ccncc3)o2)cc1,41.0,nM,7.39
609,CHEMBL3309820,,412.39,0,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2cccc3c2OCO3)cc1,41.0,nM,7.39
610,CHEMBL1290563,,312.17,0,O=C(O)C1=Cc2cc(C(F)(F)F)ccc2OC1C(F)(F)F,41.0,nM,7.39
611,CHEMBL1950012,,350.42,0,Cc1ccnc(C(=O)c2[nH]c3ccc(C(C)(C)C)cc3c2CC(=O)O)c1,41.5,nM,7.38
612,CHEMBL4285341,,318.33,0,NS(=O)(=O)c1ccc(-c2conc2-c2ccc(F)cc2)cc1,42.0,nM,7.38
613,CHEMBL117306,,369.23,0,NS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(Cl)nc2)cc1,42.0,nM,7.38
614,CHEMBL1289129,,370.25,0,CCCc1cc(OC(F)(F)F)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,42.0,nM,7.38
615,CHEMBL3355603,,357.15,0,[2H]C([2H])([2H])c1cc2c(c(C([2H])([2H])[2H])c1Br)C=C(C(=O)O)C(C(F)(F)F)O2,43.0,nM,7.37
616,CHEMBL1288617,,347.50,0,O=C(O)C1=Cc2cc(Cl)c(Cl)c(Cl)c2OC1C(F)(F)F,43.0,nM,7.37
617,CHEMBL1290682,,370.25,0,CCCc1cc(OC(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,43.0,nM,7.37
618,CHEMBL1939668,,458.49,0,Cc1c(CC(=O)OCCO[N+](=O)[O-])cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,43.0,nM,7.37
619,CHEMBL116252,,368.25,0,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cnccc2Cl)cc1,43.0,nM,7.37
620,CHEMBL183891,,411.46,0,CCOc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1,43.0,nM,7.37
621,CHEMBL43520,,356.45,0,Cc1csc(Sc2cc3c(cc2NS(C)(=O)=O)COC3=O)n1,43.0,nM,7.37
622,CHEMBL560088,,434.49,0,CS(=O)(=O)c1ccc(-c2cnc(Cc3ccccc3O)nc2-c2ccc(F)cc2)cc1,43.0,nM,7.37
623,CHEMBL1288619,,302.63,0,C#Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,43.0,nM,7.37
624,CHEMBL4572657,,411.44,0,COc1ccc(/C=N/c2c(C#N)cnn2-c2ccc(S(N)(=O)=O)cc2)cc1OC,43.74,nM,7.36
625,CHEMBL257299,,387.89,0,Cc1ccc(CNc2cc(Cl)nc(-c3ccc(S(C)(=O)=O)cc3)n2)cc1,44.4,nM,7.35
626,CHEMBL67659,,488.51,1,CS(=O)(=O)c1ccc(-c2nn(CCc3ccccc3)c(C(F)(F)F)c2-c2ccc(F)cc2)cc1,45.0,nM,7.35
627,CHEMBL423638,,536.63,2,COC1(c2cc(F)cc(OCc3cc(-c4ccccc4)n(-c4ccc(S(C)(=O)=O)cc4)n3)c2)CCOCC1,45.0,nM,7.35
628,CHEMBL4647794,,602.21,2,CSc1nc2ccccc2n1-c1csc(NC/C(C)=N/N=c2\scc(-c3ccc(Cl)cc3)n2-c2ccccc2)n1,45.0,nM,7.35
629,CHEMBL564729,,414.45,0,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OCC3CCCCC3)n2)cc1,45.0,nM,7.35
630,CHEMBL433160,,500.98,1,COc1ccc2c(c1)c(CC(=O)OCCNC(=O)OC(C)(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,45.0,nM,7.35
631,CHEMBL119720,,311.43,0,Cn1cccc1C(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,45.0,nM,7.35
632,CHEMBL1630231,,378.77,0,CCC(CC)COc1cc2c(cc1Cl)C=C(C(=O)O)C(C(F)(F)F)O2,46.0,nM,7.34
633,CHEMBL1288728,,306.67,0,Cc1cc2c(c(C)c1Cl)C=C(C(=O)O)[C@@H](C(F)(F)F)O2,46.0,nM,7.34
634,CHEMBL2337408,,417.50,0,Cc1c(CCOCCO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1,46.0,nM,7.34
635,CHEMBL4069602,,412.30,1,CCCc1cc(S(F)(F)(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,46.0,nM,7.34
636,CHEMBL174990,,328.75,0,CN1C(=O)/C(=C(/O)Nc2ccc(Cl)cc2)c2ccccc2C1=O,46.0,nM,7.34
637,CHEMBL4865464,,423.53,0,CCCCOc1nc(OCC(C)(C)O)c(-c2ccc(S(C)(=O)=O)cc2)cc1CO,47.0,nM,7.33
638,CHEMBL76154,,255.32,0,Cc1cccc(C)c1Nc1ccccc1CC(=O)O,47.0,nM,7.33
639,CHEMBL98514,,468.34,1,COc1ccc2c(c1)c(CC(=O)Nc1cncc(Cl)c1)c(C)n2C(=O)c1ccc(Cl)cc1,47.0,nM,7.33
640,CHEMBL441769,,476.96,0,COc1ccc2c(c1)c(CC(=O)NC[C@@H](O)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,47.0,nM,7.33
641,CHEMBL3576986,,600.65,1,COC(=O)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C(=O)c1cn(S(=O)(=O)c2ccc(C)cc2)c2ccccc12,47.0,nM,7.33
642,CHEMBL17229,,330.46,0,CC(C)(C)c1cc(-c2nsc(NC#N)n2)cc(C(C)(C)C)c1O,47.0,nM,7.33
643,CHEMBL259218,,310.18,0,Cc1ccc(Nc2c(Cl)cccc2Cl)c(CC(=O)O)c1,47.0,nM,7.33
644,CHEMBL4867950,,495.56,0,O=c1c(Cc2ccccc2)n[nH]c(=S)n1/N=C/c1cc2cc(OCc3ccccc3)ccc2nc1O,47.0,nM,7.33
645,CHEMBL462709,,352.59,1,COc1c(C(C)(C)C)cc(-c2cc(=S)ss2)cc1C(C)(C)C,47.2,nM,7.33
646,CHEMBL324093,,395.25,0,CS(=O)(=O)c1ccc(-c2cnc(Br)n2-c2ccc(F)cc2)cc1,48.0,nM,7.32
647,CHEMBL4293163,,300.34,0,NS(=O)(=O)c1ccc(-c2conc2-c2ccccc2)cc1,48.0,nM,7.32
648,CHEMBL187468,,395.46,0,CCc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1,48.0,nM,7.32
649,CHEMBL348645,,391.42,0,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2ccc(F)c(F)c2)cc1,48.0,nM,7.32
650,CHEMBL270510,,421.44,0,Cc1ccc(CNc2cc(C(F)(F)F)nc(-c3ccc(S(C)(=O)=O)cc3)n2)cc1,48.4,nM,7.32
651,CHEMBL4444603,,324.36,0,COc1ccccc1/C=C/C1=NN(c2ccc(F)cc2)C(=O)CC1,48.79,nM,7.31
652,CHEMBL282301,,333.80,0,NS(=O)(=O)c1ccc(-n2ncc(Cl)c2-c2ccccc2)cc1,48.98,nM,7.31
653,CHEMBL4867038,,429.51,0,CCCCOc1nc(-c2ccc(F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)cc1CO,49.0,nM,7.31
654,CHEMBL1290565,,356.22,0,CCc1cc(OC(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,49.0,nM,7.31
655,CHEMBL289731,,368.51,0,CCc1csc(Sc2cc3c(cc2NS(C)(=O)=O)CCC3=O)n1,49.0,nM,7.31
656,CHEMBL269832,,355.42,0,CS(=O)(=O)c1ccc(-c2nc(O)cc(NCc3ccccc3)n2)cc1,49.3,nM,7.31
657,CHEMBL4783879,,426.91,1,C/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(F)cc2)c1C,50.0,nM,7.3
658,CHEMBL349564,,440.52,0,CS(=O)(=O)c1ccc(-c2cnn(Cc3cccs3)c(=O)c2-c2ccc(F)cc2)cc1,50.0,nM,7.3
659,CHEMBL95989,,453.97,1,CCCC/C=C/COC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,50.0,nM,7.3
660,CHEMBL4792785,,318.36,0,C/C(=N\NC(N)=S)c1nnn(-c2ccc(C(=O)O)cc2)c1C,50.0,nM,7.3
661,CHEMBL4798519,,362.37,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/O)nnn1-c1ccc(F)cc1,50.0,nM,7.3
662,CHEMBL404107,,512.83,2,COc1ccc2c(c1)c(CCOC(=O)c1ccc(Cl)cc1)c(C)n2Cc1ccc(Br)cc1,50.0,nM,7.3
663,CHEMBL319148,,468.34,1,COc1ccc2c(c1)c(CC(=O)Nc1cccnc1Cl)c(C)n2C(=O)c1ccc(Cl)cc1,50.0,nM,7.3
664,CHEMBL99199,,427.93,1,CCCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,50.0,nM,7.3
665,CHEMBL3809863,,492.57,0,CC(C)C[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@@H](C)C(=O)O,50.0,nM,7.3
666,CHEMBL344959,,323.41,0,CS(=O)(=O)Nc1cc2c(cc1OC1CCCCC1)C(=O)CC2,50.0,nM,7.3
667,CHEMBL144787,,339.48,0,CS(=O)(=O)Nc1cc2c(cc1SC1CCCCC1)C(=O)CC2,50.0,nM,7.3
668,CHEMBL4779437,,436.55,0,C/C(=N\NC(N)=S)c1nnn(-c2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C,50.0,nM,7.3
669,CHEMBL144884,,347.46,0,Cc1ccc(Sc2cc3c(cc2NS(C)(=O)=O)CCC3=O)cc1,50.0,nM,7.3
670,CHEMBL319764,,433.34,0,COc1ccc2c(c1)c(CC(=O)NCCCCl)c(C)n2C(=O)c1ccc(Cl)cc1,50.0,nM,7.3
671,CHEMBL298084,,489.45,1,CS(=O)(=O)c1ccc(-n2cc(CSc3ccc(Cl)cc3)nc2-c2ccc(Cl)cc2)cc1,50.0,nM,7.3
672,CHEMBL361563,,369.41,0,CS(=O)(=O)Nc1cc2c(cc1Sc1cccc(F)c1F)C(=O)CC2,50.0,nM,7.3
673,CHEMBL4791577,,353.43,0,C/C(=N\NC(N)=S)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,50.0,nM,7.3
674,CHEMBL4786489,,378.82,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/O)nnn1-c1ccc(Cl)cc1,50.0,nM,7.3
675,CHEMBL151042,,367.43,0,NS(=O)(=O)c1ccc(-c2cc3c(cc2Cc2ccccc2)OCO3)cc1,50.0,nM,7.3
676,CHEMBL96954,,434.88,0,COc1ccc2c(c1)c(CC(=O)Oc1cccnc1)c(C)n2C(=O)c1ccc(Cl)cc1,50.0,nM,7.3
677,CHEMBL347441,,412.49,0,C[C@H]1C[C@H]1Cn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1=O,50.0,nM,7.3
678,CHEMBL2347671,,358.49,0,CCSc1nc(-c2ccccc2)c(-c2ccc(S(C)(=O)=O)cc2)[nH]1,50.0,nM,7.3
679,CHEMBL28636,DERACOXIB,397.38,0,COc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1F,50.0,nM,7.3
680,CHEMBL421385,,462.93,1,COc1ccc2c(c1)c(CC(=O)NOCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,50.0,nM,7.3
681,CHEMBL4466030,,394.46,0,Cc1cc(-n2cc(-c3ccc(N)cc3)nn2)n(-c2ccc(S(C)(=O)=O)cc2)n1,50.0,nM,7.3
682,CHEMBL277115,,443.95,1,CS(=O)(=O)c1ccc(-c2sc(-c3ccccc3Cl)nc2-c2ccc(F)cc2)cc1,50.0,nM,7.3
683,CHEMBL98903,,344.46,0,COc1ccc(-c2cscc2-c2ccc(S(C)(=O)=O)cc2)cc1,50.0,nM,7.3
684,CHEMBL274990,SC-58125,384.35,0,CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,50.0,nM,7.3
685,CHEMBL277116,,443.95,1,CS(=O)(=O)c1ccc(-c2sc(-c3ccc(Cl)cc3)nc2-c2ccc(F)cc2)cc1,50.0,nM,7.3
686,CHEMBL44283,,363.84,0,Cc1c(Cl)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,50.0,nM,7.3
687,CHEMBL184187,,393.47,0,COc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(C)cc3)nn2n1,50.0,nM,7.3
688,CHEMBL96098,,372.88,0,CCc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,50.0,nM,7.3
689,CHEMBL97562,,490.94,1,COc1ccc2c(c1)c(CC(=O)Oc1ccc(NC(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,50.0,nM,7.3
690,CHEMBL254377,,511.85,2,COc1ccc2c(c1)c(CCNC(=O)c1ccc(Cl)cc1)c(C)n2Cc1ccc(Br)cc1,50.0,nM,7.3
691,CHEMBL440001,,426.51,0,C[C@H]1C(Cn2ncc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)c2=O)[C@@H]1C,50.0,nM,7.3
692,CHEMBL324876,,376.41,0,CC1(C)OC(=O)C(Oc2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,50.0,nM,7.3
693,CHEMBL3774784,,387.45,1,CCCCCCNC(=O)Oc1cccc(-c2ccc([C@H](C)C(=O)O)cc2F)c1,50.0,nM,7.3
694,CHEMBL97179,,413.90,1,CCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,50.0,nM,7.3
695,CHEMBL116343,,330.38,0,Cc1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,51.0,nM,7.29
696,CHEMBL1288565,,292.64,0,Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,51.0,nM,7.29
697,CHEMBL111657,,334.39,0,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CCC2)cc1,51.0,nM,7.29
698,CHEMBL292413,,360.38,0,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cn1,51.0,nM,7.29
699,CHEMBL322045,,380.43,0,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC(CF)(CF)C2)cc1,51.0,nM,7.29
700,CHEMBL3309448,,413.38,0,NS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2cccc3c2OCO3)cc1,51.0,nM,7.29
701,CHEMBL188115,,397.43,0,COc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1,51.0,nM,7.29
702,CHEMBL117146,,341.37,0,CS(=O)(=O)c1ccc(-c2cnc(C#N)n2-c2ccc(F)cc2)cc1,51.0,nM,7.29
703,CHEMBL408215,,414.43,0,NS(=O)(=O)c1ccc(-c2nc(NCc3ccsc3)cc(C(F)(F)F)n2)cc1,51.9,nM,7.29
704,CHEMBL29403,,425.39,0,Cc1cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc2c1OCO2,52.0,nM,7.28
705,CHEMBL283633,,450.37,1,NS(=O)(=O)c1ccc(-n2nc(-c3ccc(Cl)s3)cc2-c2ccc(Cl)cc2)cc1,52.0,nM,7.28
706,CHEMBL329480,,433.90,0,COc1ccc2c(c1)c(CC(=O)Nc1cccnc1)c(C)n2C(=O)c1ccc(Cl)cc1,52.0,nM,7.28
707,CHEMBL4547736,,308.36,0,Cc1cccc(/C=C/C2=NN(c3ccc(F)cc3)C(=O)CC2)c1,52.34,nM,7.28
708,CHEMBL108975,,367.30,1,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3Cl)CCC2)cc1,52.48,nM,7.28
709,CHEMBL117547,,392.93,0,CCSc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,53.0,nM,7.28
710,CHEMBL3233601,,372.40,0,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)C(=O)N(C)C2=O)cc1,53.0,nM,7.28
711,CHEMBL4529762,,416.26,0,Brc1ccc(-c2nnc(CSc3nnc(-c4ccncc4)o3)o2)cc1,53.0,nM,7.28
712,CHEMBL4643407,,581.80,2,CSc1nc2ccccc2n1-c1csc(NC/C(C)=N/N=c2\scc(-c3ccc(C)cc3)n2-c2ccccc2)n1,54.0,nM,7.27
713,CHEMBL4847404,,389.44,0,O=c1c(Cc2ccccc2)n[nH]c(=S)n1/N=C/c1cc2ccccc2nc1O,54.0,nM,7.27
714,CHEMBL3355602,,312.70,0,[2H]C([2H])([2H])c1cc2c(c(C([2H])([2H])[2H])c1Cl)C=C(C(=O)O)C(C(F)(F)F)O2,54.0,nM,7.27
715,CHEMBL3949091,,487.64,0,CSc1ccc(-n2c(-c3ccc(S(C)(=O)=O)cc3)cc(CC(=O)OCCCCO)c2C)cc1,55.0,nM,7.26
716,CHEMBL265078,,467.35,1,COc1ccc2c(c1)c(CC(=O)Nc1ccc(Cl)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,55.0,nM,7.26
717,CHEMBL283497,,470.91,0,NS(=O)(=O)c1ccc(-n2nc(C(=O)Nc3cccc(Cl)c3)cc2-c2ccc(F)cc2)cc1,56.0,nM,7.25
718,CHEMBL281978,,436.24,0,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2Cl)cc1,56.0,nM,7.25
719,CHEMBL97846,,462.93,1,COc1ccc(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)cc1,56.0,nM,7.25
720,CHEMBL29533,,401.80,0,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccccc2Cl)cc1,56.0,nM,7.25
721,CHEMBL4072067,,449.11,1,O=C(O)C1=Cc2cc(S(F)(F)(F)(F)F)cc(Br)c2OC1C(F)(F)F,56.0,nM,7.25
722,CHEMBL564962,,419.48,1,CS(=O)(=O)c1ccc(-c2cnc(Nc3ccccc3)nc2-c2ccc(F)cc2)cc1,56.0,nM,7.25
723,CHEMBL4437752,,367.39,0,N#Cc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1NC(=O)c1ccccc1,56.17,nM,7.25
724,CHEMBL4109738,,474.51,0,Cc1c(CC(=O)N[C@H](CO)C(=O)O)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1,57.0,nM,7.24
725,CHEMBL365473,,425.49,0,CC(C)Oc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1,57.0,nM,7.24
726,CHEMBL4288684,,317.34,0,CS(=O)(=O)c1ccc(-c2conc2-c2ccc(F)cc2)cc1,57.0,nM,7.24
727,CHEMBL557128,,434.49,0,CS(=O)(=O)c1ccc(-c2cnc(C(O)c3ccccc3)nc2-c2ccc(F)cc2)cc1,57.0,nM,7.24
728,CHEMBL17069,,431.99,1,CS(=O)(=O)c1ccc(-c2sc(-c3ccccc3Cl)nc2-c2cccs2)cc1,57.0,nM,7.24
729,CHEMBL418574,,385.34,0,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccccc2F)cc1,57.54,nM,7.24
730,CHEMBL95558,,504.97,2,COC(=O)Cc1ccc(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)cc1,58.0,nM,7.24
731,CHEMBL4639025,,567.77,2,CSc1nc2ccccc2n1-c1csc(NC/C(C)=N/N=c2\scc(-c3ccccc3)n2-c2ccccc2)n1,58.0,nM,7.24
732,CHEMBL4562695,,353.79,0,N#Cc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1NC(=O)CCCl,58.04,nM,7.24
733,CHEMBL16996,,469.56,0,COc1ccc(-c2nc(NCc3ccccc3)sc2-c2ccc(S(N)(=O)=O)cc2)cc1F,59.0,nM,7.23
734,CHEMBL3355608,,295.66,0,[2H]C([2H])([2H])c1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,59.0,nM,7.23
735,CHEMBL4465282,,318.16,0,Clc1ccc(/C=N/c2nnc(-c3ccc(Cl)cc3)o2)cc1,59.0,nM,7.23
736,CHEMBL3309447,,427.40,0,NS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2cccc3c2OCCO3)cc1,59.0,nM,7.23
737,CHEMBL318206,,474.99,1,COc1ccc2c(c1)c(CC(=O)N[C@H](C)c1ccc(C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,60.0,nM,7.22
738,CHEMBL95625,,479.99,1,COc1ccc2c(c1)c(CC(=O)Oc1ccccc1SC)c(C)n2C(=O)c1ccc(Cl)cc1,60.0,nM,7.22
739,CHEMBL100092,,441.96,1,CCCCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,60.0,nM,7.22
740,CHEMBL100091,,457.95,1,CCCCOCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,60.0,nM,7.22
741,CHEMBL297008,,311.41,0,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,60.0,nM,7.22
742,CHEMBL262744,,412.49,0,C[C@H]1C[C@@H]1Cn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1=O,60.0,nM,7.22
743,CHEMBL95311,,460.96,1,COc1ccc2c(c1)c(CC(=O)NCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,60.0,nM,7.22
744,CHEMBL4635572,,418.46,0,O=[N+]([O-])c1ccc(-c2nnc(Cn3c(CN4CCCCC4)nc4ccccc43)o2)cc1,60.0,nM,7.22
745,CHEMBL96842,,309.39,0,CS(=O)(=O)c1ccc(-c2cccnc2-c2ccccc2)cc1,60.0,nM,7.22
746,CHEMBL4641524,,391.45,0,Fc1ccccc1-c1nnc(Cn2c(CN3CCCCC3)nc3ccccc32)o1,60.0,nM,7.22
747,CHEMBL4788147,,443.36,1,C/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(Cl)cc2)c1C,60.0,nM,7.22
748,CHEMBL4444391,,397.44,0,Cc1cc(-n2cc(-c3ccc(F)cc3)nn2)n(-c2ccc(S(C)(=O)=O)cc2)n1,60.0,nM,7.22
749,CHEMBL4856646,,509.54,2,COc1ccc2nc(O)c(/C=N/n3c(=S)[nH]nc(Cc4cc(OC)c(OC)c(OC)c4)c3=O)cc2c1,60.0,nM,7.22
750,CHEMBL4167700,,374.83,0,O=C1COCCN1c1ccc(Nc2nc(Cl)nc(N3CCCC3)n2)cc1,60.0,nM,7.22
751,CHEMBL4648342,,391.45,0,Fc1ccc(-c2nnc(Cn3c(CN4CCCCC4)nc4ccccc43)o2)cc1,60.0,nM,7.22
752,CHEMBL156401,,412.49,0,C[C@@H]1C[C@H]1Cn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1=O,60.0,nM,7.22
753,CHEMBL46712,,380.39,0,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,60.0,nM,7.22
754,CHEMBL1290684,,356.22,0,CCc1cc(OC(F)(F)F)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,60.0,nM,7.22
755,CHEMBL43002,,329.40,0,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,60.0,nM,7.22
756,CHEMBL1938840,,286.34,0,CC(C)(C)OC1Oc2ccccc2-c2nc(NN)ncc21,60.0,nM,7.22
757,CHEMBL42175,,400.81,0,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Cl)c2)cc1,60.0,nM,7.22
758,CHEMBL2347677,,344.46,0,CSc1nc(-c2ccccc2)c(-c2ccc(S(C)(=O)=O)cc2)[nH]1,60.0,nM,7.22
759,CHEMBL341320,,388.42,0,Cc1ccc(Oc2c(-c3ccc(S(C)(=O)=O)cc3)oc(C)cc2=O)c(F)c1,60.0,nM,7.22
760,CHEMBL3809156,,406.48,0,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CN,60.0,nM,7.22
761,CHEMBL44244,,461.46,0,Cc1c(S(=O)(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,60.0,nM,7.22
762,CHEMBL317332,,460.96,1,COc1ccc2c(c1)c(CC(=O)NCc1ccc(C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,60.0,nM,7.22
763,CHEMBL4068589,,398.27,1,CCc1cc(S(F)(F)(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,60.0,nM,7.22
